Resource,20251027_220208,20251027_220855,20251027_221633,20251027_230521,20251027_231322,20251027_232650,20251028_131918,20251028_144401,20251028_150415,20251028_151421,20251028_161353,20251028_173350,20251028_180044,20251028_184322,20251028_203743
Rune Age (1 unit),6.0,6.0,6.0,5.0,5.0,5.0,,4.0,4.0,,5.0,5.0,5.0,5.0,5.0
Rune Age (10 unit),70.0,70.0,70.0,70.0,75.0,75.0,,40.0,64.0,,64.0,64.0,64.0,64.0,64.0
Rune Age (100 unit),696.0,587.0,586.0,543.0,543.0,516.0,,575.0,574.0,,569.0,586.0,587.0,582.0,564.0
Rune Cha (1 unit),9999.0,4.0,9998.0,4.0,4.0,4.0,9997.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Rune Cha (10 unit),47.0,47.0,47.0,47.0,47.0,47.0,112.0,112.0,112.0,112.0,113.0,79.0,79.0,79.0,70.0
Rune Cha (100 unit),466.0,460.0,458.0,460.0,459.0,454.0,594.0,593.0,599.0,598.0,498.0,414.0,417.0,413.0,400.0
Rune Cri (1 unit),299.0,332.0,332.0,349.0,349.0,347.0,352.0,352.0,360.0,360.0,360.0,368.0,364.0,,340.0
Rune Cri (10 unit),3590.0,3648.0,3647.0,3627.0,3626.0,3625.0,3699.0,3600.0,3699.0,3699.0,3769.0,3786.0,3784.0,,3774.0
Rune Cri (100 unit),36890.0,36884.0,36888.0,36888.0,36888.0,36886.0,36979.0,36973.0,36979.0,36977.0,36000.0,35993.0,35990.0,,30000.0
Rune Do (1 unit),375.0,372.0,,381.0,380.0,,375.0,369.0,369.0,369.0,370.0,369.0,370.0,369.0,368.0
Rune Do (10 unit),3586.0,3999.0,,3996.0,3994.0,,3987.0,3495.0,3496.0,3495.0,2847.0,3497.0,3496.0,3493.0,3484.0
Rune Do (100 unit),35998.0,37893.0,,37896.0,37948.0,,38489.0,34991.0,34986.0,34985.0,34989.0,33999.0,34000.0,34899.0,34977.0
Rune Do Per (1 unit),44.0,42.0,43.0,42.0,42.0,,54.0,54.0,53.0,53.0,53.0,30.0,53.0,53.0,62.0
Rune Do Per (10 unit),445.0,460.0,463.0,461.0,460.0,,715.0,714.0,712.0,712.0,710.0,500.0,698.0,687.0,650.0
Rune Do Per (100 unit),4892.0,4890.0,4893.0,4892.0,4894.0,,6997.0,6984.0,6983.0,6981.0,6976.0,6885.0,6887.0,6799.0,6870.0
Rune Do Ren (1 unit),196.0,196.0,196.0,195.0,195.0,,272.0,270.0,270.0,270.0,270.0,270.0,270.0,,269.0
Rune Do Ren (10 unit),2792.0,2792.0,2792.0,2792.0,2792.0,,2791.0,2791.0,2791.0,2791.0,2791.0,2500.0,2500.0,,2500.0
Rune Do Ren (100 unit),31999.0,31999.0,31999.0,31999.0,31999.0,,31999.0,31999.0,31999.0,31999.0,31999.0,31999.0,31999.0,,31999.0
Rune Fo (1 unit),5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Rune Fo (10 unit),57.0,57.0,57.0,57.0,57.0,57.0,58.0,30.0,30.0,30.0,20.0,55.0,50.0,54.0,38.0
Rune Fo (100 unit),520.0,517.0,514.0,490.0,489.0,485.0,383.0,344.0,342.0,340.0,390.0,584.0,584.0,578.0,577.0
Rune Ga Pa (1 unit),148700.0,148576.0,148497.0,147998.0,147998.0,147993.0,148723.0,145998.0,148327.0,148328.0,147799.0,144900.0,144500.0,147955.0,147865.0
Rune Ga Pa (10 unit),1484998.0,1488999.0,1488998.0,1488997.0,1488998.0,1488998.0,1499796.0,1499796.0,1499796.0,1499799.0,,1499000.0,1498000.0,1499999.0,1499898.0
Rune Ga Pa (100 unit),14799999.0,14799999.0,14799999.0,14799999.0,14799999.0,14799999.0,14899750.0,14899750.0,,,,,,,
Rune Ga Pme (1 unit),24495.0,24882.0,24883.0,24963.0,24967.0,24996.0,26483.0,25995.0,25990.0,25989.0,24494.0,25245.0,25244.0,147955.0,25996.0
Rune Ga Pme (10 unit),249460.0,249462.0,249464.0,249465.0,249465.0,249466.0,252476.0,252473.0,252470.0,252470.0,252477.0,252480.0,252480.0,252477.0,252466.0
